att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,class
-0.001627,0.567551,-0.357225,0.002478,-0.140442,0.160205,-0.936777,0.042467,0.416616,-0.196839,0.267423,-0.003476,-0.310458,0.145374,-0.05764,-0.210265,-0.294797,-0.963253,-0.084141,-0.071887,-1
-0.504926,0.177506,-0.329533,0.331952,0.100532,-0.2381,-0.612957,0.2917,0.091192,-0.347186,0.05839,-0.208072,0.073589,0.163149,0.017116,-0.165901,-0.615651,-0.673026,0.315196,-0.238308,-1
-0.529469,0.130065,-0.31947,0.242602,0.08062,-0.321109,-0.617769,0.191969,0.08386,-0.353207,0.076698,0.097695,-0.064234,0.21369,-0.060529,-0.145889,-0.729427,-0.349996,0.27683,0.038617,-1
-0.659606,0.076604,-0.098837,-0.157201,-0.010466,-0.141405,-0.368431,0.061846,0.131166,-0.056679,-0.144749,-0.001851,0.055239,0.202379,-0.216343,-0.192864,-0.547346,-0.204575,0.435886,0.435321,-1
-0.791171,0.009093,0.327337,0.118318,0.092694,0.067576,-0.319694,0.239469,0.14516,-0.115292,-0.17835,-0.002312,-0.041963,-0.005674,-0.113319,-0.181119,-0.410764,-0.209785,0.24872,0.012708,-1
-0.520606,0.154242,-0.288241,0.296518,0.095133,-0.192348,-0.622478,0.283423,0.089401,-0.332582,0.040338,-0.103337,0.089693,0.124545,-0.012299,-0.159937,-0.627413,-0.537643,0.247486,-0.196891,-1
-0.076817,0.410245,-0.085542,-0.479452,-0.022556,-0.159368,-0.586105,-0.057302,-0.048657,0.069923,-0.127806,0.291621,-0.092204,0.204596,-0.081595,-0.14271,-0.717463,-0.178799,0.383344,0.341909,-1
-0.4712,0.070722,-0.287493,-0.414119,-0.23089,0.168517,-0.777745,-0.142262,0.642147,0.2894,-0.025987,0.38113,-0.151654,0.198686,0.04417,0.08187,-0.370676,-0.406632,0.047632,0.365984,-1
-0.607935,0.221343,-0.238363,0.297509,-0.165008,0.086477,-0.574419,0.382809,0.142405,-0.398889,-0.270739,-0.058761,0.045786,-0.176661,-0.333169,-0.138443,-0.209903,-0.341056,0.282997,-0.470383,-1
0.378287,0.916896,0.414174,-0.591431,-0.13735,0.220006,-0.443436,-0.030483,-0.150798,-0.050081,-0.507303,0.301862,0.012471,0.259273,0.086325,-0.281097,-0.618261,-0.163249,0.781208,0.077627,-1
-0.70991,-0.027265,-0.129746,-0.174487,0.076739,-0.073072,-0.478369,0.013192,0.104261,0.048939,-0.161685,-0.048228,0.050563,0.048369,-0.02835,-0.114525,-0.530506,-0.362215,0.327056,0.308614,-1
-0.742582,-0.028159,-0.055491,-0.183766,0.114817,-0.160456,-0.495854,-0.050327,0.086638,0.099653,-0.103892,0.240716,-0.034897,0.119396,-0.017103,-0.031499,-0.624621,-0.1775,0.212846,0.373523,-1
-0.275842,0.439387,-0.074785,0.073849,0.083167,-0.153272,-0.581362,0.149219,-0.690858,-0.352829,0.032538,-0.275149,-0.022723,-0.083688,-0.213901,-0.288782,-0.676218,-0.548215,0.210344,0.163922,-1
-0.555656,0.178215,-0.278094,0.313324,0.104992,-0.14934,-0.612672,0.286885,0.109021,-0.315452,0.026383,-0.265992,0.12758,0.155107,0.028825,-0.119287,-0.595012,-0.611485,0.26485,-0.228603,-1
-0.103548,0.41505,-0.240322,-0.159501,-0.399847,0.108082,-0.514022,0.028015,0.288955,0.002508,0.145002,-0.402822,0.105592,0.083085,0.349732,0.091213,-0.697464,-0.08951,0.313343,0.315314,-1
-0.661355,0.156194,-0.342882,0.134035,-0.063326,-0.152119,-0.596086,0.111924,0.094699,-0.191596,0.000919,-0.138123,0.048014,0.125849,-0.161071,-0.020817,-0.605841,-0.332808,0.206218,0.165295,-1
-0.598026,-0.036712,-0.159108,-0.18657,0.186209,-0.081986,-0.511091,-0.086395,0.223425,0.099706,-0.089349,-0.071498,0.047341,0.122541,-0.033759,-0.007076,-0.417641,-0.459683,0.356417,0.4313,-1
-0.574345,-0.008727,0.00214,-0.105735,0.203302,-0.11106,-0.431193,-0.067253,0.092337,0.070734,-0.098307,0.201327,0.037268,0.049127,0.027125,-0.080754,-0.598733,-0.163971,0.204631,0.338159,-1
-0.584399,0.188229,-0.314796,0.288428,0.020294,-0.108564,-0.674889,0.275944,0.088464,-0.305188,0.003846,-0.21837,0.040972,0.119732,-0.027799,-0.137983,-0.577097,-0.586416,0.260958,-0.192426,-1
